record_id|name|institution|year
127668|Johann Georg Büsch||
125107|Johann Gottfried von Berger||
145770|Johann Heinrich Michaelis||
184935|Johann Hoffmann||
143045|Johann Jacob Grynaeus||
182088|Johann Jakob von Brunn||
127647|Johann Matthias Gesner||
146374|Johann Möller||
128046|Johann Pasch||
127803|Johann Peter von Ludewig||
57659|Johann Tobias Mayer||
228334|Johann Wilhelm Baier||
125665|Johannes (Johann Sturm) Sturmius||
130913|Johannes (van den Driesche) Drusius||
131444|Johannes Argyropoulos||
127011|Johannes Hommel||
126109|Johannes Müller Regiomontanus||
125048|Johannes Nicolaus Stupanus||
127107|Johannes Stöffler||
126730|Johannes Volmar||
119159|Johannes Winter von Andernach||
126887|Johannes von Gmunden||
128305|John Craig||
116874|John Hugh Westcott|University of London|
131577|Joseph Justus Scaliger||
17864|Joseph Louis Lagrange||
24410|Josiah Royce|The Johns Hopkins University|
194305|Josias Christoph Neander||
7402|Julius Plücker|Philipps-Universit t Marburg|
119254|Justus (Joost Lips) Lipsius||
223724|Kamāl al-Dīn Ibn Yūnus||
47025|Karl Christian von Langsdorf||
127671|Karl Gottlieb Knorre||
35141|Karl Reinhold|Friedrich-Schiller-Universit t Jena|
96160|Karl Schmidt|Philipps-Universit t Marburg|
142578|Kevin Warwick|Imperial College London|
125897|Leo Outers||
126113|Leonhard (Leonard Vitreatoris z Dobczyc) von Dobschütz||
38586|Leonhard Euler||
126888|Luca Pacioli||
125232|Ludolph van Ceulen||
294942|Léonor Caron||
125894|Maarten (Martinus Dorpius) van Dorp||
184632|Manuel Bryennios||
135185|Manuel Chrysoloras||
152901|Marco Musuro||
125434|Marin Mersenne||
131539|Marsilio Ficino||
106922|Martin Knutzen||
47064|Martin Ohm||
125303|Matteo Realdo (Renaldus Columbus) Colombo||
125794|Matthaeus Adrianus||
123968|Michael Alberti||
127962|Michael d. J. Walther||
127790|Moritz Valentin Steinmetz||
131446|Moses Perez||
217509|Nasir al-Dīn al-Ṭūsī||
127166|Niccolò Leoniceno||
125658|Nicolas (Nicolaes Cleynaerts) Clénard||
143011|Nicolas Malebranche||
126177|Nicolaus (Mikołaj Kopernik) Copernicus||
127734|Nicolaus Zapf||
199357|Nicole Oresme||
152902|Nicoletto Vernia||
129628|Nikolaus Eglinger||
127864|Nikolaus Selnecker||
146365|Nilos Kabasilas||
25222|Norbert Wiener|Harvard University|
149192|Ognibene (Omnibonus Leonicenus) Bonisoli da Lonigo||
18926|Oscar Ascher Zariski|Universit di Roma La Sapienza|
46967|Otto Hesse||
21235|Otto Mencke|Universit t Leipzig|
142577|Panayotis (Panos) John Antsaklis|Brown University|
232227|Paolo (Nicoletti) da Venezia||
232228|Paolo da Pergola||
131236|Paul (Paul Büchlein) Fagius||
96164|Paul Gerhard Natorp||
128348|Paul Wittich||
127144|Pelope||
14590|Peter Lawrence Falb|Harvard University|
143084|Peter Werenfels||
125047|Petrus (Pierre de La Ramée) Ramus||
125892|Petrus (Pieter de Corte) Curtius||
127942|Petrus Otto||
130248|Petrus Ryff||
126956|Philipp Melanchthon||
144221|Philipp Müller||
76484|Phillip Friedrich Gmelin||
112689|Pierre Varignon||
108295|Pierre-Simon Laplace||
132725|Pieter van Schooten||
24181|Pietro Paoli||
152903|Pietro Pomponazzi||
136726|Pietro Roccabonella||
287479|Qutb al-Dīn Ibrāhīm al-Mīṣrī||
130995|Raoul (Rodolphus Cavellerius) le Chevalier||
224249|Reinhard Bachoff von Echt||
124286|René Just Haüy||
123967|Robert Wilhelm Eberhard Bunsen||
128012|Rudolf Agricola||
128938|Rudolf Jakob Camerarius||
19964|Rudolf Otto Sigismund Lipschitz||
124000|Rudolf Wilhelm Krause||
125181|Rudolph (Snel van Royen) Snellius||
126571|Rutger Rescius||
127945|Samuel Stryk||
